Nombre,Posición,Equipo,Puntos,Media Puntos Relevo,Puntos Relevo,Precio Actual,Precio Inicial,Media,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Balones al Área,Despejes,Regates,Tiros a Puerta,Balones Recuperados,Posesiones Perdidas,Penaltis Fallados,Goles en Contra,Tarjetas Rojas,Paradas,Penaltis Cometidos,Tarjetas Amarillas,Segundas Amarillas,Penaltis Provocados,Penaltis Parados,Goles en Propia Puerta
Lewandowski,DL,FC Barcelona,146,2.85,37,127.371.980,127.397.088,11.23,13,1075,14,2,3,0,15,11,31,27,121,1,8,0,0,0,1,0,0,0,0
Raphinha,DL,FC Barcelona,143,3.23,42,125.574.940,126.412.569,11.00,13,1082,7,6,11,25,12,18,16,45,218,0,9,0,0,0,1,0,2,0,0
Lamine Yamal,DL,FC Barcelona,137,3.58,43,130.755.379,129.276.090,11.42,12,977,5,7,11,5,2,30,17,53,200,0,8,0,0,0,1,0,1,0,0
Vinícius Jr.,DL,Real Madrid,118,3.08,37,122.524.964,124.817.548,9.83,12,984,8,4,4,5,0,34,11,27,189,0,9,0,0,0,4,0,2,0,0
Mbappe,DL,Real Madrid,102,2.82,31,113.861.649,115.469.311,9.27,11,942,6,1,2,1,0,31,24,16,133,0,8,0,0,0,1,0,0,0,0
Oblak,PO,Atlético de Madrid,98,2.50,30,43.994.610,45.329.104,8.17,12,1080,0,0,0,0,4,1,0,89,67,0,7,0,34,0,0,0,0,0,0
Valverde,MC,Real Madrid,94,2.58,31,79.643.844,79.127.149,7.83,12,1032,2,2,2,0,14,7,9,84,94,0,9,0,0,0,2,0,0,0,0
Cruz,MC,Leganés,93,2.38,31,54.899.212,56.198.421,7.15,13,774,4,1,4,11,8,16,9,43,146,0,8,0,0,0,1,0,0,0,0
Remiro,PO,Real Sociedad,93,2.31,30,29.526.179,29.773.696,6.64,13,1170,0,0,0,0,8,0,0,84,103,0,10,0,28,0,0,0,0,0,0
Griezmann,DL,Atlético de Madrid,93,2.77,36,78.686.200,77.833.978,7.15,13,959,3,4,5,13,11,7,6,31,191,0,5,0,0,0,1,0,0,0,0
Miguel Gutiérrez,DF,Girona,92,2.46,32,55.709.994,57.586.982,7.08,13,1080,1,2,6,24,12,16,6,77,150,0,15,0,0,0,0,0,0,0,0
Pedri,MC,FC Barcelona,91,2.62,34,84.209.043,82.957.979,7.00,13,931,3,1,2,5,5,9,5,79,139,0,9,0,0,0,1,0,0,0,0
Raíllo,DF,Mallorca,90,2.15,28,53.593.184,54.043.753,6.92,13,1170,1,0,2,0,66,2,3,49,98,0,10,0,0,0,0,0,0,0,0
Lukébakio,DL,Equipo desconocido,88,2.23,29,51.508.005,53.118.972,6.77,13,1022,5,0,1,10,5,29,16,43,168,0,16,0,0,0,1,0,0,0,0
Rui Silva,PO,Real Betis,87,2.23,29,31.348.070,30.824.822,6.69,13,1170,0,0,0,0,7,0,0,113,95,0,12,0,36,1,1,0,0,0,0
Moleiro,MC,Las Palmas,87,2.23,29,50.292.726,51.297.971,6.69,13,1020,4,0,3,2,3,24,15,54,146,0,17,0,0,0,2,0,0,0,0
Sergio Gómez,DL,Real Sociedad,86,2.62,34,54.679.329,53.522.972,6.62,13,986,0,3,6,28,5,8,4,73,173,0,9,0,0,1,1,0,0,0,0
Zubimendi,MC,Real Sociedad,84,2.54,33,46.601.775,47.810.442,6.46,13,1125,1,1,0,1,27,9,5,66,126,0,10,0,0,0,2,0,1,0,0
Kubo,MC,Real Sociedad,84,2.38,31,60.012.256,62.789.122,6.46,13,872,3,0,3,10,3,23,7,51,178,0,6,0,0,0,1,0,0,0,0
Iñaki Williams,DL,Athletic Club,83,2.00,24,65.695.172,64.634.043,6.92,12,976,3,4,6,6,11,17,9,35,168,0,10,0,0,0,0,0,1,0,0
Milla,MC,Espanyol,83,2.46,32,40.053.150,39.788.700,6.38,13,1155,1,1,2,30,8,10,3,75,203,0,11,0,0,1,0,0,0,0,0
Moro,MC,Valladolid,80,2.23,29,33.529.645,35.662.076,6.15,13,941,3,1,2,20,6,24,6,48,165,0,20,0,0,0,1,0,0,0,0
Carlos Vicente,DL,Alavés,79,2.31,30,35.820.716,35.105.008,6.08,13,1056,2,0,2,33,6,13,7,50,171,0,17,0,0,0,1,0,0,0,0
Aspas,DL,Celta de Vigo,79,2.33,28,44.381.685,43.552.131,6.58,12,891,4,3,4,2,2,8,13,29,133,1,14,0,0,0,1,1,1,0,0
De Frutos,MC,Rayo Vallecano,79,1.92,23,39.996.569,39.258.042,6.58,12,875,3,1,3,7,7,14,7,55,120,0,9,0,0,0,0,0,0,0,0
Sergio Herrera,PO,Osasuna,78,2.38,31,21.046.015,20.657.405,6.00,13,1170,0,0,0,0,12,0,0,121,156,0,20,0,45,0,2,0,0,0,0
Joan Garcia,PO,Espanyol,78,2.08,25,25.963.339,25.266.249,6.50,12,1080,0,0,0,0,11,0,1,127,115,0,22,0,52,0,1,0,0,1,0
Lo Celso,MC,Real Betis,78,3.43,24,51.381.622,55.760.495,11.14,7,493,5,1,3,12,1,10,10,30,101,0,5,0,0,0,1,0,0,0,0
Gazzaniga,PO,Girona,77,1.69,22,23.555.563,23.178.812,5.92,13,1170,0,0,0,0,4,2,0,86,82,0,17,0,27,0,3,0,0,2,0
Budimir,DL,Osasuna,77,1.69,22,46.596.712,46.128.869,5.92,13,933,6,1,1,0,8,5,11,19,116,0,16,0,0,0,1,0,3,0,0
Bryan,DL,Osasuna,76,2.08,27,57.094.340,56.042.383,5.85,13,906,1,5,3,13,8,28,6,25,153,0,15,0,0,0,3,0,0,0,0
Dani Rodríguez,MC,Mallorca,76,2.15,28,37.010.010,35.974.490,5.85,13,687,2,3,4,15,6,7,4,22,99,0,7,0,0,0,1,0,0,0,0
Iñigo Martínez,DF,FC Barcelona,75,2.23,29,61.818.064,61.956.681,5.77,13,1062,0,1,2,0,37,0,1,49,97,0,8,0,0,0,3,0,0,0,0
Berenguer,DL,Athletic Club,74,1.85,24,24.424.614,25.598.504,5.69,13,708,2,4,6,8,6,9,6,29,133,1,7,0,0,0,2,0,2,0,0
Vivian,DF,Athletic Club,74,1.85,24,40.304.566,39.369.483,5.69,13,864,2,0,0,0,48,2,4,68,86,0,10,0,0,0,1,0,0,0,0
Álex Baena,MC,Villarreal CF,74,2.45,27,54.703.598,53.291.556,6.73,11,838,1,5,6,25,4,5,6,54,162,1,14,0,0,0,3,0,0,0,0
Giménez,DF,Atlético de Madrid,74,2.00,26,40.862.060,41.942.699,5.69,13,926,0,0,0,0,45,0,0,50,57,0,3,0,0,0,1,0,0,0,1
Rodrygo,DL,Real Madrid,73,2.36,26,44.078.889,42.009.430,6.64,11,666,3,1,0,9,2,14,7,18,81,0,2,0,0,0,0,0,0,0,0
Militão,DF,Real Madrid,73,2.17,26,44.593.956,42.222.339,6.08,12,939,1,1,1,0,35,5,3,54,86,0,9,0,0,0,2,0,0,0,0
David Soria,PO,Espanyol,72,2.00,26,17.268.438,16.830.174,5.14,13,1170,0,0,0,0,15,0,0,83,142,0,11,0,25,0,0,0,0,0,0
Mojica,DF,Mallorca,72,2.00,26,37.958.703,37.732.195,5.54,13,907,0,0,3,17,25,12,0,76,157,0,8,0,0,0,2,0,0,0,0
Karl Hein,PO,Valladolid,72,2.15,28,17.247.552,16.942.156,5.54,13,1170,0,0,0,0,12,0,0,105,125,0,25,0,43,0,0,0,0,0,0
Sorloth,DL,Atlético de Madrid,72,1.85,24,37.357.525,36.778.255,5.54,13,599,4,2,1,1,9,5,11,24,103,0,5,0,0,0,0,0,0,0,0
Julián Alvarez,DL,Atlético de Madrid,71,1.77,23,54.899.622,56.807.035,5.46,13,762,4,1,1,4,3,6,10,21,92,0,3,0,0,0,1,0,0,0,0
Diego Llorente,DF,Real Betis,70,1.85,24,30.817.147,31.360.539,5.38,13,1135,0,0,0,0,61,4,1,60,112,0,11,0,0,1,0,0,0,0,0
Diego Conde,PO,Villarreal CF,70,1.92,23,21.219.270,21.279.531,5.83,12,1080,0,1,1,0,9,0,0,84,67,0,19,0,36,0,1,0,0,0,0
Yangel Herrera,MC,Girona,68,1.83,22,22.221.498,22.085.407,5.67,12,802,2,1,1,5,17,7,5,59,114,0,9,0,0,0,4,0,0,0,0
Pau Cubarsí,DF,FC Barcelona,68,1.85,24,59.858.847,61.004.319,5.23,13,1025,0,1,2,1,27,3,0,39,66,0,10,0,0,1,2,0,0,0,0
Andrei,DF,Rayo Vallecano,67,2.36,26,19.308.024,19.569.786,6.09,11,890,1,1,2,5,18,22,6,54,139,0,10,0,0,0,1,0,0,0,0
Ayoze Pérez,DL,Villarreal CF,67,2.44,22,57.173.849,58.467.963,7.44,9,517,7,0,2,3,4,9,7,23,50,0,9,0,0,0,3,0,0,0,0
Fornals,MC,Real Betis,66,2.08,27,21.686.104,22.793.866,5.08,13,956,1,0,3,16,6,3,3,66,155,0,8,0,0,0,2,0,0,0,0
Lejeune,DF,Rayo Vallecano,66,2.00,24,28.584.736,28.061.896,5.50,12,1080,0,1,0,0,50,2,6,54,113,0,13,0,0,0,1,0,0,0,0
Samu Costa,MC,Mallorca,66,2.08,25,29.544.155,30.026.998,5.50,12,1011,0,1,3,2,36,2,6,65,127,0,9,0,0,0,4,1,0,0,0
Rüdiger,DF,Real Madrid,65,2.00,24,52.184.087,53.420.567,5.42,12,996,0,0,0,1,39,2,2,44,73,0,10,0,0,0,0,0,0,0,0
Comesaña,MC,Villarreal CF,65,2.08,25,15.737.440,16.205.470,5.42,12,853,2,2,3,2,11,4,2,65,88,0,17,0,0,0,2,0,0,0,0
Dani Olmo,MC,FC Barcelona,65,2.43,17,98.088.132,98.499.823,9.29,7,315,5,0,2,1,0,10,10,18,51,0,0,0,0,0,0,0,0,0,0
Alderete,DF,Espanyol,64,2.25,27,16.737.155,17.044.799,5.33,12,1080,0,0,2,0,55,5,6,57,173,0,10,0,0,0,3,0,0,0,0
Mingueza,DF,Celta de Vigo,64,2.25,27,38.030.031,37.026.108,5.33,12,917,2,5,7,7,13,10,3,54,202,0,18,0,0,0,3,0,0,0,0
Aimar Oroz,MC,Osasuna,64,1.46,19,20.281.721,20.260.044,4.92,13,1041,1,0,2,1,1,13,7,72,105,0,16,0,0,0,1,0,0,0,0
Koundé,DF,FC Barcelona,64,2.15,28,54.026.660,52.935.401,4.92,13,1019,1,1,2,5,23,11,2,46,145,0,11,0,0,0,2,0,0,0,0
Mamardashvili,PO,Valencia CF,64,1.91,21,23.916.379,23.135.086,5.82,11,990,0,0,0,0,6,0,0,73,111,0,17,0,26,0,0,0,0,1,0
Luka Sucic,MC,Real Sociedad,64,1.67,20,16.631.104,17.625.067,5.33,12,709,1,1,2,1,5,5,7,50,76,0,7,0,0,0,0,0,0,0,0
Modric,MC,Real Madrid,64,2.17,26,33.128.884,33.773.670,5.33,12,593,0,2,7,21,3,4,2,40,92,0,6,0,0,0,3,0,0,0,0
Boyomo,DF,Osasuna,64,1.38,18,28.774.208,28.182.226,4.92,13,1170,1,0,0,0,48,4,2,57,85,0,18,0,0,0,2,0,0,0,0
Koke,MC,Atlético de Madrid,64,1.85,24,20.160.802,508.256,4.92,13,969,1,0,1,3,13,4,2,76,120,0,7,0,0,0,3,0,0,0,1
Abde,DL,Real Betis,63,1.85,24,24.353.789,24.910.438,4.85,13,935,1,0,0,1,2,27,13,51,185,1,9,0,0,0,1,0,1,0,0
Álex Balde,DF,FC Barcelona,63,1.69,22,51.116.105,52.045.009,4.85,13,907,0,2,1,4,7,18,1,40,117,0,8,0,0,0,0,0,0,0,0
Casadó,MC,FC Barcelona,63,1.92,25,35.951.933,38.290.578,4.85,13,773,0,3,3,0,9,1,0,43,74,0,6,0,0,0,1,0,0,0,0
Sancet,MC,Athletic Club,62,2.00,20,29.975.516,29.141.333,6.20,10,666,4,0,1,1,3,6,7,36,93,0,6,0,0,0,1,0,0,0,0
Nyland,PO,Equipo desconocido,62,2.09,23,11.835.896,11.219.014,5.64,11,964,0,0,1,0,11,0,0,78,149,0,15,0,33,0,1,0,0,0,0
Sergio G,DF,Leganés,62,1.62,21,14.033.958,14.251.684,4.77,13,1123,1,0,0,0,65,2,2,52,114,0,16,0,0,0,1,0,0,0,1
Darder,MC,Mallorca,62,1.77,23,19.862.668,19.641.463,4.77,13,815,0,0,1,23,6,8,4,40,132,0,8,0,0,0,0,0,0,0,0
Courtois,PO,Real Madrid,62,2.11,19,33.194.275,33.036.778,6.89,9,810,0,0,0,0,8,0,0,79,42,0,7,0,18,0,0,0,0,0,1
Nico Williams,DL,Athletic Club,61,2.18,24,71.599.077,70.560.958,5.55,11,774,1,1,2,12,1,24,7,29,165,0,6,0,0,0,1,0,0,0,0
B Iglesias,DL,Celta de Vigo,60,1.46,19,24.977.992,24.287.474,4.62,13,692,4,0,1,0,4,7,8,23,82,0,13,0,0,0,0,0,0,0,0
Nayef Aguerd,DF,Real Sociedad,60,2.44,22,19.093.646,21.188.291,6.67,9,786,0,0,1,0,36,1,5,39,63,0,6,0,0,0,1,0,0,0,0
Bryan,DL,Girona,59,2.09,23,14.468.447,56.042.383,5.36,11,701,1,1,2,6,3,19,6,36,105,0,11,0,0,0,1,0,0,0,0
Cillessen,PO,Las Palmas,59,2.18,24,8.363.452,8.417.584,5.36,11,960,0,0,0,0,9,0,0,87,134,0,17,0,39,0,1,0,0,1,0
Sandro,DL,Las Palmas,59,1.90,19,8.405.342,8.754.172,5.90,10,559,3,2,4,12,9,4,5,29,73,0,9,0,0,0,2,0,0,0,0
Torró,MC,Osasuna,59,1.46,19,6.300.954,6.487.206,4.54,13,1132,2,0,0,0,28,2,3,82,166,0,19,0,0,0,4,0,0,0,0
Marcos Llorente,MC,Atlético de Madrid,59,2.50,20,29.454.868,29.816.447,7.38,8,629,2,1,2,7,12,3,3,42,63,0,4,1,0,0,0,0,0,0,0
Agirrezabala,PO,Athletic Club,59,1.91,21,6.941.427,6.966.678,5.36,11,847,0,0,0,0,6,0,0,75,75,0,7,1,16,1,0,0,0,0,0
Guruzeta,DL,Athletic Club,58,1.33,16,20.937.435,20.498.348,4.83,12,680,3,2,0,0,6,4,7,25,65,0,7,0,0,0,0,0,0,0,0
Ejuke,DL,Equipo desconocido,58,2.20,22,13.935.493,13.209.481,5.80,10,542,1,0,1,3,2,33,5,35,104,0,7,0,0,0,0,0,0,0,0
